question,expected_answer,generated_answer,source
How do I check my current data balance?,Dial *123# or use the MyTelecom app and open My Usage.,"To check your current data balance, you can:  
1. **Dial `*123#`** from your mobile device.  
2. **Use the MyTelecom app**: Log in > Go to **My Usage** > Your remaining data balance will be displayed on the dashboard.  

Let me know if you need further assistance!",FAQ
Why is my mobile internet so slow?,Slow speeds may be caused by congestion weak signal or data throttling.,"Your slow mobile internet could be due to several common factors. Here’s how to troubleshoot:  

1. **Check Network Congestion**:  
   - If you're in a busy area (e.g., city center), network congestion may reduce speeds. Try again later or move to a less crowded location.  

2. **Toggle Airplane Mode**:  
   - Turn Airplane Mode **on** for 10 seconds, then **off** to force a network reconnect. This can resolve temporary connectivity issues.  

3. **Verify Data Usage**:  
   - If you’ve exceeded your high-speed data cap, your speed may be throttled to 512 kbps. Check your usage via the **MyTelecom app** or by texting ""USAGE"" to 611.  

4. **Ensure 4G/LTE is Enabled**:  
   - Go to **Settings > Mobile Network > Preferred Network Type** and select **4G/LTE**. If unsure, contact us to confirm your SIM and plan support 4G.  

5. **Reset APN Settings**:  
   - If switching between 3G/4G causes issues, reset your Access Point Name (APN) to default:  
     - **Settings > Mobile Network > APN > Reset to Default**.  
     - Use the default APN: `internet.telecom.example`.  

6. **Check Coverage**:  
   - Use our [coverage map](telecom.example.com/coverage) to confirm signal strength in your area. If coverage is poor, consider a signal booster or Wi-Fi alternative.  

If these steps don’t resolve the issue, call **611** for a network investigation. For 5G users, ensure your device and plan support 5G (check with us).",FAQ
How do I activate 4G LTE on my phone?,Enable 4G LTE in Mobile Network settings and ensure your plan supports LTE.,"To activate 4G/LTE on your phone, follow these steps:  

1. Open **Settings** > **Mobile Network** > **Preferred Network Type**.  
2. Select **4G/LTE** from the options.  

Ensure your SIM card supports 4G and your plan includes 4G access (check your plan details or contact us if unsure). If the **4G/LTE** option does not appear, call **611** to verify your device compatibility and account settings.  

Let me know if you need further assistance!",FAQ
What should I do if I have no signal at home?,Check coverage and try troubleshooting steps or contact support.,"If you have no signal at home, follow these steps:  

1. **Check Coverage**: Verify coverage in your area using our [coverage map](telecom.example.com/coverage).  
2. **Restart Your Device**: Power off your phone, wait 30 seconds, then turn it back on.  
3. **Reseat the SIM Card**: Power off your device, remove the SIM, clean the contacts with a dry cloth, and reinsert it firmly.  
4. **Check for Outages**: Use the **MyTelecom app** (*Help > Network Status*) or our [live status page](telecom.example.com/status) to see if there’s a known outage in your area.  
5. **Test Signal Strength**: On Android, use a network signal app; on iOS, dial `*3001#12345#*` to view signal levels. A reading above -85 dBm is good.  
6. **Try Another Device/SIM**: Test with a different phone or SIM to determine if the issue is device-specific.  

If the problem persists after these steps, **call 611** or use the **MyTelecom app** (*Help > Report an Issue*). Provide your location and details about when the issue occurs. Our network team will investigate further.",FAQ
How do I report a network outage?,Call 611 or use the MyTelecom app to report the outage.,"You can report a network outage by:  
1. Calling **611**  
2. Using the **MyTelecom app** (Help > Report an Issue)  
3. Tweeting **@TelecomSupport**  

We’ll notify you via SMS once the outage is resolved.",FAQ
My calls keep dropping what should I do?,Check signal strength SIM condition and device health.,"If your calls keep dropping, follow these steps to troubleshoot:  

1. **Restart your phone** to refresh the network connection.  
2. **Reseat the SIM card**: Power off your device, remove the SIM, clean its contacts with a dry cloth, and reinsert it firmly.  
3. **Test with another SIM** (if possible) to rule out a faulty SIM card.  
4. **Check for network outages** using the MyTelecom app or website.  
5. **Enable Wi-Fi Calling** (if available on your plan): Go to *Settings > Phone > Wi-Fi Calling* and toggle it on.  

If the issue persists after these steps, call **611** for further assistance.",FAQ
How do I enable Wi-Fi calling?,Enable Wi-Fi Calling in phone settings.,"To enable Wi-Fi calling on your device:  
1. Go to **Settings** > **Phone** > **Wi-Fi Calling**.  
2. Toggle the **Wi-Fi Calling** option to **On**.  

Wi-Fi calling allows you to make and receive calls over a Wi-Fi network when cellular signal is weak. Ensure your plan includes this feature. If it’s not enabled on your account, call **611** to add it. Let me know if you need further assistance!",FAQ
Why am I unable to make international calls?,Enable international calling on your account first.,"To make international calls, you need to ensure **international calling is enabled** on your account. Here's how to resolve this:

1. **Enable International Calling**:  
   Log in to the [MyTelecom portal](https://www.telecom.example.com), navigate to **Add-ons > International Calling**, and activate the service. This feature is not enabled by default.

2. **Check Billing**:  
   International calls are billed at per-minute rates by country unless you purchase an international calling bundle (available in the same section).

If you’ve already enabled the feature but still cannot make calls, there may be an issue with your account settings or regional restrictions. For further assistance, call **611** (free from your mobile) or use the **MyTelecom app** for live chat support.",FAQ
How do I activate international roaming?,Enable roaming in MyTelecom or call 611.,"To activate international roaming, follow these steps:  

1. Log in to the **MyTelecom app** or website.  
2. Navigate to **Plan & Services > International Roaming**.  
3. Toggle the **International Roaming** option to ""On"" **at least 24 hours before your travel date**.  
4. Select a **roaming bundle** (optional but recommended) to avoid per-MB charges.  

Roaming will be automatically disabled when you return home. If you need further assistance, call **611** or check the coverage map for your destination to ensure partner network availability.",FAQ
What are the roaming charges in the EU?,EU roaming bundle costs $15 per day and includes calls texts and data.,"The roaming charges in the EU are as follows:  

- **EU Roaming Bundle**: $15/day, which includes unlimited calls and texts within the EU, plus 2 GB of data at local speeds.  
- **Without a bundle**: Data is charged at **$10/MB**, and calls at **$1.50/minute**.  

To avoid unexpected charges, ensure the **EU Roaming Bundle** is activated **at least 24 hours before travel** via the MyTelecom app (Plan & Services > International Roaming). Roaming is automatically disabled when you return home.  

For detailed billing, check your **Itemised Bill** in the MyTelecom app if you notice discrepancies.",FAQ
